BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201803,3,300,201803,3,700,123316,739284,CALIFORNIA,6,2018,March,Winter Weather,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/3/2018 3:00,PST-8,3/3/2018 7:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,One inch of snow.,CSV
201803,3,300,201803,3,700,123316,739285,CALIFORNIA,6,2018,March,Winter Weather,Z,108,SOUTHERN TRINITY,EKA,3/3/2018 3:00,PST-8,3/3/2018 7:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Two inches of snow.,CSV
201803,3,300,201803,3,827,123316,739286,CALIFORNIA,6,2018,March,Winter Weather,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/3/2018 3:00,PST-8,3/3/2018 8:27,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Spotter report of 3 inches of snow at an elevation of 2800 feet.,CSV
201803,1,1030,201803,3,1019,123316,739287,CALIFORNIA,6,2018,March,Heavy Snow,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/1/2018 10:30,PST-8,3/3/2018 10:19,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Spotter report of 13.5 inches of storm total snow at an elevation of 2000 feet.,CSV
201803,3,300,201803,3,1030,123316,739288,CALIFORNIA,6,2018,March,Winter Weather,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/3/2018 3:00,PST-8,3/3/2018 10:30,0,0,0,0,0.00K,0.00K,NWS Employee,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,One inch of snow.,CSV
201802,18,1200,201802,18,1830,123820,742892,CALIFORNIA,6,2018,February,Heavy Snow,Z,71,LASSEN/EASTERN PLUMAS/EASTERN SIERRA,REV,2/18/2018 12:00,PST-8,2/18/2018 18:30,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Low pressure over the northeast Pacific on the 17th moved southeast, reaching northern California on the 18th. This system brought high winds and snowfall to the Sierra Nevada and northeastern California.",Trained weather spotter 3 miles southeast of Lake Davis reported heavy snow falling with whiteout conditions. Total accumulated snow of 4 inches.,CSV
201802,22,500,201802,23,0,123845,743337,CALIFORNIA,6,2018,February,Heavy Snow,Z,73,MONO,REV,2/22/2018 5:00,PST-8,2/23/2018 0:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"A shortwave rounded the base of a longwave trough over the West Coast, passing over Northern California the morning of the 22nd, which brought snow to the eastern Sierra and northeastern California.",Mammoth Mountain Ski Area reported 12 to 14 inches of storm total snowfall on the 22nd.,CSV
201803,1,1030,201803,3,1422,123316,739289,CALIFORNIA,6,2018,March,Heavy Snow,Z,107,NORTHERN TRINITY,EKA,3/1/2018 10:30,PST-8,3/3/2018 14:22,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Public report of 28 inches of storm total snow at an elevation of 3500 feet near Trinity Lake.,CSV
201803,1,1030,201803,3,1631,123316,739290,CALIFORNIA,6,2018,March,Heavy Snow,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/1/2018 10:30,PST-8,3/3/2018 16:31,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Public report of 14 inches of storm total snow at an elevation of 2470 feet.,CSV
201803,3,300,201803,3,749,123316,739291,CALIFORNIA,6,2018,March,Winter Weather,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/3/2018 3:00,PST-8,3/3/2018 7:49,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Estimated 4.3 inches of snow at an elevation of 2500 feet near Brooktrails.,CSV
201803,3,400,201803,3,812,123316,739293,CALIFORNIA,6,2018,March,Winter Weather,Z,107,NORTHERN TRINITY,EKA,3/3/2018 4:00,PST-8,3/3/2018 8:12,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Estimated 2 inches of snow at an elevation of 1400 feet.,CSV
201803,3,300,201803,3,800,123316,739294,CALIFORNIA,6,2018,March,Winter Weather,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/3/2018 3:00,PST-8,3/3/2018 8:00,0,0,0,0,0.00K,0.00K,NWS Employee,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Light dusting of snow (0.1 inch) on Mattole Road through Humboldt Redwoods State Park.,CSV
201803,1,1030,201803,3,1000,123316,739295,CALIFORNIA,6,2018,March,Heavy Snow,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/1/2018 10:30,PST-8,3/3/2018 10:00,0,0,0,0,0.00K,0.00K,NWS Employee,,,,,,,,,,,,,,,,,,,,,,Cold air aloft spread across northwest California as an upper trough deepened over the northeastern Pacific. Coastal small hail and mountain snow occurred as a result.,Estimated 24 inches of snow at Grasshopper peak at an elevation of 3300 feet.,CSV
201803,13,1900,201803,14,600,123355,739627,CALIFORNIA,6,2018,March,Winter Weather,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/13/2018 19:00,PST-8,3/14/2018 6:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A cold upper trough positioned over the region yielded mountain snow.,Spotter reported 4 inches of snow at an elevation of 3750 feet.,CSV
201803,15,200,201803,15,811,123355,739628,CALIFORNIA,6,2018,March,Winter Weather,Z,106,SOUTHERN HUMBOLDT INTERIOR,EKA,3/15/2018 2:00,PST-8,3/15/2018 8:11,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A cold upper trough positioned over the region yielded mountain snow.,Spotter reported 1 inch of snow at an elevation of 2800 feet.,CSV
201803,15,200,201803,15,859,123355,739629,CALIFORNIA,6,2018,March,Winter Weather,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/15/2018 2:00,PST-8,3/15/2018 8:59,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A cold upper trough positioned over the region yielded mountain snow.,Spotter reported 2 inches of snow at an elevation of 2000 feet.,CSV
201803,14,1500,201803,15,916,123355,739630,CALIFORNIA,6,2018,March,Winter Weather,Z,110,NORTHWESTERN MENDOCINO INTERIOR,EKA,3/14/2018 15:00,PST-8,3/15/2018 9:16,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,A cold upper trough positioned over the region yielded mountain snow.,Public report of 4 inches of snow at an elevation of 3750 feet.,CSV
201803,1,449,201803,1,519,122999,737484,CALIFORNIA,6,2018,March,Flood,C,85,SANTA CLARA,MTR,3/1/2018 4:49,PST-8,3/1/2018 5:19,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,ENE,(SJC)SAN JOSE INTL A,1,ENE,(SJC)SAN JOSE INTL A,37.3802,-121.9096,37.3802,-121.9095,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding at 2020 Junction Ave.,CSV
201803,1,909,201803,1,939,122999,737485,CALIFORNIA,6,2018,March,Flood,C,97,SONOMA,MTR,3/1/2018 9:09,PST-8,3/1/2018 9:39,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,5,S,SCHELLVILLE ARPT,5,S,SCHELLVILLE ARPT,38.1507,-122.4492,38.1507,-122.4493,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at SR 121 and Sears Point Dr.,CSV
201803,1,931,201803,1,1001,122999,737486,CALIFORNIA,6,2018,March,Flood,C,41,MARIN,MTR,3/1/2018 9:31,PST-8,3/1/2018 10:01,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,WSW,CORTE MADERA,0,WSW,CORTE MADERA,37.9489,-122.5355,37.9489,-122.5356,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at 250 BonAir Road.,CSV
201803,1,955,201803,1,1025,122999,737487,CALIFORNIA,6,2018,March,Flood,C,13,CONTRA COSTA,MTR,3/1/2018 9:55,PST-8,3/1/2018 10:25,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,NE,SELBY,0,NE,SELBY,38.0525,-122.2268,38.0524,-122.2268,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding at I80 E and Pomona Street on ramp.,CSV
201803,1,226,201803,1,256,122999,737483,CALIFORNIA,6,2018,March,Flood,C,41,MARIN,MTR,3/1/2018 2:26,PST-8,3/1/2018 2:56,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,SSE,GREEN BRAE,1,SSE,GREEN BRAE,37.9403,-122.5158,37.9404,-122.5158,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at US 101N and Lucky Drive off ramp.,CSV
201803,1,1025,201803,1,1055,122999,737491,CALIFORNIA,6,2018,March,Flood,C,81,SAN MATEO,MTR,3/1/2018 10:25,PST-8,3/1/2018 10:55,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,NE,STERLING PARK,1,NE,STERLING PARK,37.7065,-122.4713,37.7058,-122.4716,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at I 280N and SR 1.,CSV
201803,1,1038,201803,1,1108,122999,737492,CALIFORNIA,6,2018,March,Flood,C,13,CONTRA COSTA,MTR,3/1/2018 10:38,PST-8,3/1/2018 11:08,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,NE,VINEHILL,1,NE,VINEHILL,38.0065,-122.0902,38.0065,-122.0906,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at Pacheco Blvd and Arthur Road.,CSV
201803,1,1050,201803,1,1120,122999,737493,CALIFORNIA,6,2018,March,Flood,C,81,SAN MATEO,MTR,3/1/2018 10:50,PST-8,3/1/2018 11:20,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,N,BAYSHORE,1,N,BAYSHORE,37.6642,-122.3992,37.664,-122.3994,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at US 101S and Oyster Point east off ramp.,CSV
201803,1,1056,201803,1,1126,122999,737494,CALIFORNIA,6,2018,March,Flood,C,81,SAN MATEO,MTR,3/1/2018 10:56,PST-8,3/1/2018 11:26,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,NW,BADEN,1,NW,BADEN,37.6629,-122.4638,37.663,-122.4638,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at I 280S and Hickey Blvd off ramp.,CSV
201803,1,1138,201803,1,1208,122999,737496,CALIFORNIA,6,2018,March,Flood,C,85,SANTA CLARA,MTR,3/1/2018 11:38,PST-8,3/1/2018 12:08,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,NNE,MILPITAS,3,NNE,MILPITAS,37.4669,-121.9052,37.4667,-121.9052,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding at I 680N and Scott Creek Road off ramp.,CSV
201803,1,1019,201803,1,1049,122999,737489,CALIFORNIA,6,2018,March,Flood,C,75,SAN FRANCISCO,MTR,3/1/2018 10:19,PST-8,3/1/2018 10:49,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,NE,OCEAN VIEW,3,NE,OCEAN VIEW,37.7498,-122.3921,37.7498,-122.3922,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at I 280N and Cesar Chavez Street off ramp.,CSV
201803,1,1024,201803,1,1054,122999,737490,CALIFORNIA,6,2018,March,Flood,C,85,SANTA CLARA,MTR,3/1/2018 10:24,PST-8,3/1/2018 10:54,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,E,RANCHO RINCONADO,1,E,RANCHO RINCONADO,37.3232,-121.9985,37.3233,-121.9989,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at I 280N and Stevens Creek Blvd on ramp.,CSV
201811,21,1600,201811,22,800,131406,786279,CALIFORNIA,6,2018,November,Heavy Snow,Z,97,TULARE CTY MTNS,HNX,11/21/2018 16:00,PST-8,11/22/2018 8:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,After a significant dry period of 45 straight dry days across most of the central California interior. A low pressure system pushed inland over northern California on November 21 and brought a period of generally light to moderate precipitation to the area from the afternoon of November 21 through the morning of November 22 as an associated cold front pushed southward through central California. The precipitation fell mainly in the form of snow above 7000 feet resulting in this system being the first significant winter storm of the season for the higher elevations of the Southern Sierra Nevada where 8 to 16 inches of snow fell. Much of the San Joaquin Valley picked up between a quarter to three quarters of an inch of an inch of rainfall after going totally dry for a month and a half. There were several reports of nuisance flooding although damage was minimal.,The Hockett Meadows SNOTEL (8600 feet) picked up an estimated 8 inches of new snowfall.,CSV
201811,21,1600,201811,22,800,131406,786280,CALIFORNIA,6,2018,November,Heavy Snow,Z,97,TULARE CTY MTNS,HNX,11/21/2018 16:00,PST-8,11/22/2018 8:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,After a significant dry period of 45 straight dry days across most of the central California interior. A low pressure system pushed inland over northern California on November 21 and brought a period of generally light to moderate precipitation to the area from the afternoon of November 21 through the morning of November 22 as an associated cold front pushed southward through central California. The precipitation fell mainly in the form of snow above 7000 feet resulting in this system being the first significant winter storm of the season for the higher elevations of the Southern Sierra Nevada where 8 to 16 inches of snow fell. Much of the San Joaquin Valley picked up between a quarter to three quarters of an inch of an inch of rainfall after going totally dry for a month and a half. There were several reports of nuisance flooding although damage was minimal.,The Blackrock SNOTEL (8114 feet) picked up an estimated 16 inches of new snowfall.,CSV
201811,21,1600,201811,22,800,131406,786281,CALIFORNIA,6,2018,November,Heavy Snow,Z,97,TULARE CTY MTNS,HNX,11/21/2018 16:00,PST-8,11/22/2018 8:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,After a significant dry period of 45 straight dry days across most of the central California interior. A low pressure system pushed inland over northern California on November 21 and brought a period of generally light to moderate precipitation to the area from the afternoon of November 21 through the morning of November 22 as an associated cold front pushed southward through central California. The precipitation fell mainly in the form of snow above 7000 feet resulting in this system being the first significant winter storm of the season for the higher elevations of the Southern Sierra Nevada where 8 to 16 inches of snow fell. Much of the San Joaquin Valley picked up between a quarter to three quarters of an inch of an inch of rainfall after going totally dry for a month and a half. There were several reports of nuisance flooding although damage was minimal.,The Hossack Meadow SNOTEL (7162 feet) picked up an estimated 8 inches of new snowfall.,CSV
201811,21,1600,201811,22,800,131406,786282,CALIFORNIA,6,2018,November,Heavy Snow,Z,97,TULARE CTY MTNS,HNX,11/21/2018 16:00,PST-8,11/22/2018 8:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,After a significant dry period of 45 straight dry days across most of the central California interior. A low pressure system pushed inland over northern California on November 21 and brought a period of generally light to moderate precipitation to the area from the afternoon of November 21 through the morning of November 22 as an associated cold front pushed southward through central California. The precipitation fell mainly in the form of snow above 7000 feet resulting in this system being the first significant winter storm of the season for the higher elevations of the Southern Sierra Nevada where 8 to 16 inches of snow fell. Much of the San Joaquin Valley picked up between a quarter to three quarters of an inch of an inch of rainfall after going totally dry for a month and a half. There were several reports of nuisance flooding although damage was minimal.,The Beartrap SNOTEL (6811 feet) picked up an estimated 10 inches of new snowfall.,CSV
201803,1,1330,201803,1,1400,122999,737498,CALIFORNIA,6,2018,March,Flood,C,53,MONTEREY,MTR,3/1/2018 13:30,PST-8,3/1/2018 14:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,NW,SPRECKELS,3,NW,SPRECKELS,36.6518,-121.6981,36.6516,-121.6982,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at S Davis Road and Foster Road.,CSV
201803,2,148,201803,2,228,122999,738485,CALIFORNIA,6,2018,March,Flood,C,75,SAN FRANCISCO,MTR,3/2/2018 1:48,PST-8,3/2/2018 2:28,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,NE,SAN FRANCISCO,3,NE,SAN FRANCISCO,37.773,-122.4075,37.7729,-122.4073,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at 455 8th Street.,CSV
201803,2,1124,201803,2,1154,122999,738486,CALIFORNIA,6,2018,March,Flood,C,41,MARIN,MTR,3/2/2018 11:24,PST-8,3/2/2018 11:54,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,1,E,MARIN CITY,1,E,MARIN CITY,37.8822,-122.525,37.8821,-122.525,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Roadway flooding reported at Almonte Blvd and SR 1.,CSV
201803,1,926,201803,1,930,122999,738492,CALIFORNIA,6,2018,March,Strong Wind,Z,505,COASTAL NORTH BAY INCLUDING POINT REYES NATIONAL SEASHORE,MTR,3/1/2018 9:26,PST-8,3/1/2018 9:30,0,0,0,0,0.00K,0.00K,Trained Spotter,39,MG,,,,,,,,,,,,,,,,,,,,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",,CSV
201803,1,1245,201803,1,1300,122999,738494,CALIFORNIA,6,2018,March,Strong Wind,Z,530,SOUTHERN MONTEREY BAY AND BIG SUR COAST,MTR,3/1/2018 12:45,PST-8,3/1/2018 13:00,0,0,0,0,0.00K,0.00K,NWS Employee,40,EG,,,,,,,,,,,,,,,,,,,,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Downed tree reported at Montecito Drive and English. Exact timing unknown.,CSV
201803,1,1826,201803,1,1841,122999,738495,CALIFORNIA,6,2018,March,Strong Wind,Z,505,COASTAL NORTH BAY INCLUDING POINT REYES NATIONAL SEASHORE,MTR,3/1/2018 18:26,PST-8,3/1/2018 18:41,0,0,0,0,0.00K,0.00K,Trained Spotter,41,MG,,,,,,,,,,,,,,,,,,,,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Spotter reported 47 mph wind gusts at the docks.,CSV
201803,1,2025,201803,1,2040,122999,738496,CALIFORNIA,6,2018,March,Strong Wind,Z,510,EAST BAY INTERIOR VALLEYS,MTR,3/1/2018 20:25,PST-8,3/1/2018 20:40,0,0,0,0,0.00K,0.00K,Newspaper,40,EG,,,,,,,,,,,,,,,,,,,,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Tree down on Crest Ave.,CSV
201803,2,725,201803,2,730,122999,738498,CALIFORNIA,6,2018,March,Hail,C,1,ALAMEDA,MTR,3/2/2018 7:25,PST-8,3/2/2018 7:30,0,0,0,0,0.00K,0.00K,Public,0.25,,,,,,,,,,,1,ESE,OAKLAND,1,ESE,OAKLAND,37.7745,-122.2031,37.7745,-122.2031,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Several reports of pea-sized hail in Oakland via social media.,CSV
201803,2,817,201803,2,822,122999,738500,CALIFORNIA,6,2018,March,Hail,C,41,MARIN,MTR,3/2/2018 8:17,PST-8,3/2/2018 8:22,0,0,0,0,0.00K,0.00K,Trained Spotter,0.25,,,,,,,,,,,0,N,BOLINAS,0,N,BOLINAS,37.9,-122.7,37.9,-122.7,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",,CSV
201803,2,840,201803,2,845,122999,738501,CALIFORNIA,6,2018,March,Hail,C,1,ALAMEDA,MTR,3/2/2018 8:40,PST-8,3/2/2018 8:45,0,0,0,0,0.00K,0.00K,Public,0.25,,,,,,,,,,,2,ENE,BERKELEY,2,ENE,BERKELEY,37.8811,-122.2361,37.8811,-122.2361,"An upper level system with a strong cold front moved through the Bay Area at the turn of the month with precipitation beginning late the evening of the 28th. This system brought widespread rainfall causing localized roadway flooding, strong winds, lightning, and small hail. Gusts in the mountains reached 60 mph and hail was seen up to 1/2 an inch. The bulk of the precipitation and subsequent impacts were seen in early March.",Pea-sized hail reported in north Berkeley via social media.,CSV
